state_code,labels,first_funding_at,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
22,1,553,0.7425,1.5808,10,3,4575000,3,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,666,0,1,1,0,0,0,5.0,1
2,0,448,2.5014,2.8301,13,2,28000000,3,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,364,0,0,1,1,0,0,1.0,1
28,1,253,2.2137,3.7863,8,2,4355000,3,0,0,0,1,0,30,1,0,0,0,0,0,0,0,0,0,294,0,1,1,0,0,0,1.5,0
31,0,99,3.8329,3.8329,3,1,15000000,1,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,231,0,0,0,1,0,0,2.0,1
2,0,406,5.4904,5.4904,1,1,3170000,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,142,0,0,1,0,0,0,2.0,0
2,0,7,-1.0,3.3151,4,2,2300000,3,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,21,0,1,1,0,0,0,2.0,0
3,0,474,0.2521,0.337,5,2,455000,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,621,0,1,1,0,0,0,4.5,1
9,1,147,4.8411,4.8411,3,1,13000000,1,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,617,0,0,0,0,1,0,4.0,1
2,1,35,4.0603,4.0603,7,1,15000000,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,444,0,0,0,0,1,0,4.0,1
2,1,401,4.0685,4.0685,2,1,3800000,3,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,397,0,0,0,1,0,0,2.0,1
28,1,114,2.5068,4.5315,37,5,299500000,2,0,0,0,1,0,34,0,1,0,0,0,0,0,0,0,0,500,1,0,1,0,1,0,1.75,1
2,1,473,1.189,1.189,5,1,1000000,3,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,487,1,0,0,0,0,0,2.0,1
2,0,366,1.3534,2.1644,3,2,10500000,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,285,0,0,1,1,0,0,2.0,1
31,1,223,4.1534,5.1671,6,2,8600000,1,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,401,1,0,0,1,0,0,1.5,1
18,0,473,-0.1671,2.0192,9,2,5000000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,383,0,0,1,1,0,0,2.5,1
2,1,11,0.0,0.8685,3,2,2304999,2,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,119,1,0,0,0,0,0,5.0,1
25,0,429,0.0822,0.0822,2,1,25000,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,1,472,0,1,0,0,0,0,1.0,0
22,0,224,2.6575,2.6575,1,1,4000000,1,0,1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,608,0,0,0,1,0,0,1.0,1
2,0,486,0.6192,1.5945,8,2,14600000,3,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,438,0,0,1,1,0,0,2.0,1
2,0,40,1.063,5.7014,0,3,44000000,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,482,0,0,0,1,1,0,4.5,1
2,1,166,0.1671,2.6493,10,3,1822922,3,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,302,0,1,1,0,0,0,2.3333,1
22,1,239,0.0,5.9041,18,7,29915001,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,1,1,1,1,1,0,2.75,1
7,1,323,0.0,4.8027,26,4,33000000,5,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,55,0,0,1,1,1,0,3.0,1
19,1,478,0.0,0.5836,9,2,125000,2,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,114,0,1,0,0,0,0,1.0,0
2,0,236,0.1041,2.3863,7,2,4000000,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,81,1,0,1,0,0,0,1.0,1
31,1,156,3.4904,3.4904,10,1,10000000,3,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,530,0,0,0,0,1,0,2.0,1
2,1,511,4.6658,4.6658,25,1,6000000,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,687,0,0,0,0,1,0,3.0,1
2,1,489,2.6247,2.6247,4,1,25000000,0,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,169,0,0,0,1,0,0,5.0,1
22,1,155,0.926,2.9534,2,3,3750000,3,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,581,0,1,1,0,0,0,2.0,1
12,1,26,0.2466,0.2466,9,1,3000000,2,0,0,1,0,0,30,1,0,0,0,0,0,0,0,0,0,460,0,0,1,0,0,0,1.0,1
2,1,175,3.2082,3.2082,11,1,10000000,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,1,2.0,1
2,1,475,2.5836,2.5836,5,1,3000000,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,521,0,0,1,0,0,0,1.0,1
12,1,140,1.8932,2.4466,4,2,11500000,3,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,656,0,0,0,0,0,0,1.0,1
28,1,472,0.7479,0.7479,12,1,5000000,5,0,0,0,1,0,34,0,1,0,0,0,0,0,0,0,0,334,0,0,1,0,0,0,3.0,1
12,1,276,5.1863,6.8137,9,2,29000000,1,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,1,290,1,0,0,0,0,1,5.0,1
2,1,7,0.6712,6.2329,37,6,34700000,4,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,25,1,1,1,1,1,1,5.0,1
2,0,278,1.1863,3.4986,0,2,12050000,0,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,596,1,0,1,0,0,0,2.0,1
2,1,241,2.1644,4.7616,13,3,12000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,829,1,0,1,1,0,0,2.0,1
2,1,245,4.1041,4.1041,18,1,5500000,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,254,0,0,0,0,1,0,2.0,1
2,1,402,1.989,4.1534,10,3,24000000,4,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,357,0,0,1,1,0,0,3.3333,1
17,1,530,5.2027,6.189,6,2,10000000,2,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,738,0,0,1,1,0,0,4.5,1
12,0,529,2.7836,10.9507,10,3,19009671,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,480,0,0,0,1,0,0,2.0,1
2,0,428,3.4986,3.4986,6,1,5000000,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,867,0,0,1,0,0,0,1.0,1
31,1,27,4.0466,9.3041,2,5,18914576,1,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,265,1,0,0,0,1,0,3.0,1
6,0,339,6.3726,6.3726,0,1,4000000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,610,1,0,0,0,0,0,3.0,0
12,1,269,1.3259999999999998,2.7836,5,3,2030882,2,0,0,1,0,0,30,1,0,0,0,0,0,0,0,0,0,317,0,0,1,0,0,0,3.0,1
2,1,498,2.6438,2.6438,4,1,5000000,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,344,0,0,0,1,0,0,1.0,1
31,0,1,1.0877,1.0877,5,1,20500000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,860,1,0,0,0,0,0,4.0,1
3,1,29,3.9616,6.5205,4,2,13250000,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,2.0,0
2,1,301,7.2548,7.2548,7,1,12000000,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,362,0,0,0,0,0,0,2.0,1
2,1,7,1.3342,3.0247,9,3,11489687,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,387,0,1,1,1,0,0,3.3333,1
2,1,558,0.6795,0.6795,15,1,4000000,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,3.0,1
2,1,374,-0.0301,-0.0301,3,1,355000,1,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,252,0,1,0,0,0,0,1.0,0
6,1,6,0.0,0.2466,10,2,118000,3,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,185,0,1,0,0,0,0,1.5,1
2,1,518,1.6685,9.337,17,4,40400000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193,0,0,1,1,1,1,1.6667,1
28,0,82,1.8055,1.8055,1,1,3000000,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,0,0,382,0,0,1,0,0,0,1.0,1
2,0,530,2.6986,4.0027,2,2,19700000,1,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,627,1,0,0,1,0,0,4.0,1
2,0,240,9.1671,9.1973,0,2,17800000,0,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,578,1,0,0,0,0,0,1.0,1
2,1,272,0.011,2.0986,12,3,57500000,3,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,582,0,1,1,1,0,0,4.0,1
22,1,520,0.6658,3.0384,10,3,17200000,5,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,113,0,0,1,1,1,0,2.6667,1
12,0,8,-0.5836,1.3425,4,7,457282,2,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,433,1,1,0,0,0,0,1.0,1
2,1,524,-0.0219,2.0329,11,4,18500000,3,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,733,0,1,1,1,0,0,2.25,1
20,0,28,2.0466,2.0466,2,1,12000000,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,546,0,0,1,0,0,0,6.0,1
3,0,466,3.5123,3.9562,5,2,510000000,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,668,1,0,0,0,0,0,2.5,1
2,1,194,3.9342,4.6822,3,2,18250000,1,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,70,0,0,1,1,0,0,2.5,1
22,1,95,2.1616,5.6384,13,4,41500019,5,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,1,778,0,0,0,0,1,0,4.0,1
33,0,424,5.4411,5.4411,1,1,1000000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,686,0,0,1,0,0,0,3.0,0
2,1,340,1.1288,1.1288,7,1,5000000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,423,0,0,1,0,0,0,1.0,1
15,0,133,7.8877,10.6658,2,3,42700000,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,395,1,0,0,1,0,0,3.6667,1
31,1,435,2.526,3.1041,5,2,22300000,2,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,421,0,0,0,1,1,0,4.5,1
2,1,6,4.0027,7.8712,5,2,10000000,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,103,1,0,0,1,0,0,4.0,1
5,0,426,1.1671,4.6658,1,3,15564591,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,222,1,0,0,1,1,0,3.5,1
2,1,458,2.5726,2.5726,7,1,500000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,191,0,1,0,0,0,0,5.0,1
2,1,203,0.1151,1.3397,24,2,8950000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,856,0,0,1,0,0,0,7.0,1
22,1,62,1.7479,4.8192,8,4,55350000,2,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,310,0,0,1,1,1,1,4.0,1
2,0,541,3.7233,3.7233,1,1,4000000,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,697,0,0,0,1,0,0,3.0,1
9,1,532,1.6986,6.5151,3,5,10764323,3,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,198,1,0,1,0,0,0,2.0,1
20,0,348,1.4082,1.4082,1,1,5500000,1,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,312,1,0,0,0,0,0,3.0,1
2,1,290,4.2849,4.2849,7,1,400000,2,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,799,0,1,0,0,0,0,3.0,1
2,0,79,0.7507,3.0137,3,3,54000000,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,367,1,0,0,0,1,0,2.6667,1
7,0,75,20.8055,20.8055,2,1,32000000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,723,0,0,0,1,0,0,7.0,1
31,1,72,5.789,5.789,1,1,13000000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0,1,4.0,1
31,1,197,0.0849,1.2712,5,3,12500000,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,715,1,0,1,1,0,0,2.3333,1
2,1,362,2.3507,8.2822,16,4,38064570,2,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,524,1,0,0,1,1,1,3.0,1
2,1,7,-0.4959,1.2548,21,2,6000000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,628,0,1,1,0,0,0,4.0,1
30,0,130,2.4658,4.8329,4,2,5000000,6,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,272,0,0,1,1,0,0,1.0,0
30,1,0,0.0,7.1068,9,3,59000000,3,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,133,1,0,0,0,1,0,2.0,1
9,0,485,1.0356,1.0356,2,1,1000000,2,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,1.0,0
2,1,543,2.7233,2.7233,5,1,600000,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,890,0,1,0,0,0,0,7.0,1
4,0,113,2.8356,3.1397,0,2,125000000,2,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,253,0,0,1,1,0,0,2.0,1
2,1,112,0.7945,2.9014,11,2,2750000,3,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,151,0,1,1,0,0,0,4.0,1
2,1,163,2.9178,4.7342,1,2,30000000,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,218,0,0,1,1,0,0,2.5,1
2,0,52,4.0137,4.0137,0,1,7000000,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,592,0,0,0,0,1,0,1.0,0
2,1,350,0.411,0.411,10,1,6100000,2,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,540,0,0,0,1,0,0,4.0,1
2,0,289,0.5315,1.9205,12,3,2100000,2,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,759,1,1,0,0,0,0,4.0,1
2,1,114,0.1452,0.5014,10,2,2565000,3,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,481,0,1,1,0,0,0,3.5,1
2,0,93,10.7589,10.7589,0,1,2000000,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,446,0,0,0,0,0,0,1.0,0
18,1,455,2.5671,5.6904,3,3,22400000,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,1,381,1,0,0,1,1,0,3.6667,1
22,1,426,1.0822,1.0822,12,1,6250000,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,892,0,0,1,0,0,0,1.0,0
22,1,116,1.7479,1.7479,4,1,575000,2,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,684,0,1,0,0,0,0,6.0,0
12,0,476,0.0,0.5808,1,2,53000,1,0,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0,650,0,1,0,0,0,0,1.0,1
2,1,164,0.9151,2.7753,6,2,9500000,2,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,295,0,0,1,1,0,0,2.5,1
28,0,9,-0.7479,0.8192,7,2,3500000,2,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,478,0,1,1,0,0,0,1.0,1
22,1,434,0.7726,1.4959,14,3,10500000,3,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,1,720,1,0,1,0,0,0,6.3333,1
2,1,94,0.7562,4.4137,14,4,34250000,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,398,1,0,1,1,1,0,2.25,1
12,1,561,0.6795,4.5507,2,5,85381111,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,547,0,0,1,1,1,0,4.6667,1
13,1,239,6.1671,7.9205,6,3,100000000,3,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,144,1,0,1,0,0,0,2.5,1
25,0,8,-1.011,1.4877,3,2,125000,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,429,1,1,0,0,0,0,1.0,1
30,0,309,2.3178,4.2356,2,2,10600000,1,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,593,1,0,0,1,0,0,3.0,1
2,1,392,2.4192,5.4384,2,3,26100000,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,176,1,0,0,1,0,0,3.5,1
22,1,436,7.5315,7.5315,2,1,30000000,1,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,240,1,0,0,0,0,0,5.0,1
9,0,73,1.0575,1.7699,6,3,132885,2,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,869,0,1,0,0,0,0,1.0,1
2,1,363,0.6,4.2247,9,3,9500000,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,48,0,0,1,1,1,0,2.0,1
2,1,208,6.1233,6.1233,9,1,18000000,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,606,1,0,0,0,0,0,7.0,1
23,0,179,1.8329,1.8329,4,1,690000,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,797,0,1,0,0,0,0,3.0,1
7,1,239,5.1644,6.0055,1,3,25131611,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,223,1,0,0,1,0,0,1.0,1
2,0,437,3.5288,3.5288,1,1,2000000,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,677,0,0,0,0,0,0,1.0,1
12,1,472,1.5836,6.6466,4,3,78750000,2,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,343,0,0,1,1,0,0,3.5,1
2,1,199,0.2521,4.4055,27,5,48500000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,834,1,1,1,1,1,0,2.5,1
2,0,460,0.5726,0.5726,12,1,15000000,2,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,250,0,0,1,0,0,0,3.0,0
2,1,170,0.9397,5.3178,13,5,74000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,177,1,0,0,1,1,0,5.3333,1
2,1,60,0.7479,2.3315,6,2,15000000,1,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,168,0,0,1,1,0,0,3.0,1
22,0,6,2.0027,3.9178,8,3,45000000,3,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,721,0,0,1,0,0,0,1.0,0
2,1,325,1.9178,1.9178,4,1,4410000,1,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,129,0,0,1,0,0,0,1.0,1
30,1,10,0.0,0.8959,9,2,4500000,2,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,765,0,0,1,1,0,0,2.0,1
2,1,539,1.6712,3.7863,11,3,11040000,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,845,0,0,1,1,1,0,2.5,1
2,1,135,1.8822,1.8822,6,1,1600000,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,763,0,0,1,0,0,0,3.0,1
22,1,369,3.4164,3.874,3,2,9000000,1,0,1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,498,1,0,0,1,0,0,4.0,1
2,1,450,1.3041,2.6493,4,3,3282327,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,852,1,0,0,0,0,0,2.0,1
2,1,239,4.1644,4.1644,5,2,24700000,5,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,260,0,0,1,1,0,0,4.0,1
7,0,531,5.6986,6.8877,2,2,8800000,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,1,389,1,0,1,0,0,0,1.0,1
2,0,157,1.1836,1.1836,1,1,1700000,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,1.0,0
2,0,512,0.2493,0.2493,1,1,20000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,770,0,1,0,0,0,0,1.0,0
2,1,236,3.1041,4.9205,10,2,11500000,5,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,345,0,0,1,1,0,0,2.5,1
2,0,305,2.3068,9.4247,12,7,98170000,3,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,685,1,0,0,1,1,1,5.2,1
9,1,444,4.7068,4.7068,17,1,940261,2,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0,0,1.0,1
12,1,201,1.6658,3.6712,12,2,4000000,3,0,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0,474,0,1,1,0,0,0,3.0,1
2,0,176,1.9562,1.9562,5,1,5000000,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,468,0,0,1,0,0,0,1.0,0
30,0,297,0.0027,0.0027,3,1,20000,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,314,0,1,0,0,0,0,1.0,0
31,1,17,4.0301,4.0301,5,1,12500000,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,1,419,0,0,0,1,0,0,3.0,1
3,0,355,1.3397,4.6548,0,5,7228704,2,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,572,1,0,1,0,0,0,2.0,1
9,0,342,4.3836,5.9562,5,2,55000000,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,645,1,0,0,1,0,0,4.0,1
2,1,36,2.063,6.6137,5,4,15180000,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,135,1,0,1,0,1,0,1.0,1
2,0,361,2.3479,3.4301,4,2,30000000,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,640,0,0,1,1,0,0,2.5,1
28,1,433,2.5233,2.6685,11,2,14500000,3,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,1,182,0,0,1,1,0,0,1.5,1
2,1,43,2.0685,2.0685,6,1,6500000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,564,1,0,0,0,0,0,3.0,1
27,0,47,0.0,0.0,2,1,15000,1,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,130,0,1,0,0,0,0,1.0,0
22,1,260,0.7288,3.6055,5,5,4705910,3,0,1,0,0,0,18,0,0,1,0,0,0,0,0,0,0,552,1,1,0,0,0,0,3.0,1
2,1,83,2.8055,2.8055,6,1,3000000,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,673,1,0,0,0,0,0,1.0,1
22,1,99,0.7452,4.9178,30,6,125250000,5,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,24,1,0,1,1,1,1,3.5,1
22,0,325,0.3315,4.0027,8,4,1449998,3,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,1,475,1,1,0,0,0,0,1.0,1
12,1,71,0.6959,1.189,5,2,6000000,3,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,861,0,1,1,0,0,0,6.0,1
16,1,37,2.0603,6.2301,7,3,28200000,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,590,1,0,0,1,1,0,3.0,1
2,1,545,3.1479,4.8795,5,2,14000000,1,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,396,1,0,1,0,0,0,2.0,1
28,0,45,1.5808,1.5808,14,1,3000000,2,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,236,0,0,1,0,0,0,1.0,0
31,0,469,1.5151,1.7644,6,2,2238055,1,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,847,1,1,0,0,0,0,1.0,1
